,EPOD Name,Customer Location City,Actual Date,KM Travelled for Session
0,EPOD012,Gurugram,2023-05-01,42
1,EPOD001,Noida,2023-05-01,0
2,EPOD002,Noida,2023-05-01,48
3,EPOD003,Noida,2023-05-01,8
4,EPOD004,Noida,2023-05-01,47
5,EPOD005,Gurugram,2023-05-01,62
6,EPOD006,Delhi,2023-05-01,0
7,EPOD007,Delhi,2023-05-01,20
8,EPOD008,Noida,2023-05-01,34
9,EPOD009,Gurugram,2023-05-01,15
10,EPOD010,Gurugram,2023-05-01,100
11,EPOD011,Gurugram,2023-05-01,85
12,EPOD012,Gurugram,2023-05-02,117
13,EPOD001,Noida,2023-05-02,0
14,EPOD002,Noida,2023-05-02,29
15,EPOD003,Noida,2023-05-02,48
16,EPOD004,Noida,2023-05-02,103
17,EPOD005,Gurugram,2023-05-02,54
18,EPOD006,Delhi,2023-05-02,21
19,EPOD007,Delhi,2023-05-02,55
20,EPOD008,Noida,2023-05-02,14
21,EPOD009,Gurugram,2023-05-02,23
22,EPOD010,Gurugram,2023-05-02,44
23,EPOD011,Gurugram,2023-05-02,65
24,EPOD012,Gurugram,2023-05-03,36
25,EPOD001,Noida,2023-05-03,22
26,EPOD002,Noida,2023-05-03,62
27,EPOD003,Noida,2023-05-03,39
28,EPOD004,Noida,2023-05-03,73
29,EPOD005,Gurugram,2023-05-03,52
30,EPOD006,Delhi,2023-05-03,109
31,EPOD007,Delhi,2023-05-03,158
32,EPOD008,Noida,2023-05-03,0
33,EPOD009,Gurugram,2023-05-03,59
34,EPOD010,Gurugram,2023-05-03,6
35,EPOD011,Gurugram,2023-05-03,66
36,EPOD012,Gurugram,2023-05-04,32
37,EPOD001,Noida,2023-05-04,24
38,EPOD002,Noida,2023-05-04,26
39,EPOD003,Noida,2023-05-04,72
40,EPOD004,Noida,2023-05-04,30
41,EPOD005,Gurugram,2023-05-04,75
42,EPOD006,Delhi,2023-05-04,0
43,EPOD007,Delhi,2023-05-04,49
44,EPOD008,Noida,2023-05-04,22
45,EPOD009,Gurugram,2023-05-04,0
46,EPOD010,Gurugram,2023-05-04,30
47,EPOD011,Gurugram,2023-05-04,39
48,EPOD012,Gurugram,2023-05-05,80
49,EPOD001,Noida,2023-05-05,0
50,EPOD002,Noida,2023-05-05,55
51,EPOD003,Noida,2023-05-05,0
52,EPOD004,Noida,2023-05-05,5
53,EPOD005,Gurugram,2023-05-05,146
54,EPOD006,Delhi,2023-05-05,85
55,EPOD007,Delhi,2023-05-05,71
56,EPOD008,Noida,2023-05-05,0
57,EPOD009,Gurugram,2023-05-05,83
58,EPOD010,Gurugram,2023-05-05,76
59,EPOD011,Gurugram,2023-05-05,44
60,EPOD012,Gurugram,2023-05-06,15
61,EPOD001,Noida,2023-05-06,0
62,EPOD002,Noida,2023-05-06,116
63,EPOD003,Noida,2023-05-06,46
64,EPOD004,Noida,2023-05-06,30
65,EPOD005,Gurugram,2023-05-06,60
66,EPOD006,Delhi,2023-05-06,30
67,EPOD007,Delhi,2023-05-06,30
68,EPOD008,Noida,2023-05-06,0
69,EPOD009,Gurugram,2023-05-06,40
70,EPOD010,Gurugram,2023-05-06,73
71,EPOD011,Gurugram,2023-05-06,51
72,EPOD012,Gurugram,2023-05-07,36
73,EPOD001,Noida,2023-05-07,0
74,EPOD002,Noida,2023-05-07,21
75,EPOD003,Noida,2023-05-07,60
76,EPOD004,Noida,2023-05-07,113
77,EPOD005,Gurugram,2023-05-07,47
78,EPOD006,Delhi,2023-05-07,45
79,EPOD007,Delhi,2023-05-07,71
80,EPOD008,Noida,2023-05-07,0
81,EPOD009,Gurugram,2023-05-07,75
82,EPOD010,Gurugram,2023-05-07,42
83,EPOD011,Gurugram,2023-05-07,50
84,EPOD012,Gurugram,2023-05-08,29
85,EPOD001,Noida,2023-05-08,5
86,EPOD002,Noida,2023-05-08,28
87,EPOD003,Noida,2023-05-08,63
88,EPOD004,Noida,2023-05-08,51
89,EPOD005,Gurugram,2023-05-08,39
90,EPOD006,Delhi,2023-05-08,18
91,EPOD007,Delhi,2023-05-08,140
92,EPOD008,Noida,2023-05-08,70
93,EPOD009,Gurugram,2023-05-08,61
94,EPOD010,Gurugram,2023-05-08,43
95,EPOD011,Gurugram,2023-05-08,55
96,EPOD012,Gurugram,2023-05-09,78
97,EPOD001,Noida,2023-05-09,0
98,EPOD002,Noida,2023-05-09,0
99,EPOD003,Noida,2023-05-09,0
100,EPOD004,Noida,2023-05-09,51
101,EPOD005,Gurugram,2023-05-09,45
102,EPOD006,Delhi,2023-05-09,0
103,EPOD007,Delhi,2023-05-09,31
104,EPOD008,Noida,2023-05-09,69
105,EPOD009,Gurugram,2023-05-09,65
106,EPOD010,Gurugram,2023-05-09,103
107,EPOD011,Gurugram,2023-05-09,41
108,EPOD012,Gurugram,2023-05-10,41
